date,day_of_week,visitors,total_cups,total_sales_yen,pale_ale_bottles,pale_ale_sales,lager_bottles,lager_sales,ipa_bottles,ipa_sales,white_beer_bottles,white_beer_sales,dark_beer_bottles,dark_beer_sales,fruit_beer_bottles,fruit_beer_sales,weather_code,precipitation_sum,temperature_2m_mean,temperature_2m_max,temperature_2m_min,weather
2024-05-23,木,14,18,17700,4,4000,3,2400,3,2700,2,1800,4,4800,2,2000,3.0,0.0,20.1,24.1,16.7,cloudy
2024-05-24,金,27,48,45800,10,10000,9,7200,8,7200,6,5400,5,6000,10,10000,3.0,0.0,21.9,27.6,16.4,cloudy
2024-05-25,土,12,23,21900,6,6000,5,4000,4,3600,3,2700,3,3600,2,2000,3.0,0.0,19.4,25.0,16.7,cloudy
2024-05-27,月,15,27,25700,7,7000,7,5600,4,3600,3,2700,4,4800,2,2000,53.0,0.7,21.4,24.6,18.9,rainy
2024-05-28,火,7,9,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,63.0,20.1,23.1,25.9,21.6,rainy
2024-05-29,水,14,28,26900,7,7000,5,4000,4,3600,3,2700,3,3600,6,6000,63.0,13.0,21.0,25.0,18.1,rainy
2024-05-30,木,17,31,29400,6,6000,7,5600,5,4500,5,4500,4,4800,4,4000,61.0,2.4,21.3,26.5,16.8,rainy
2024-05-31,金,7,17,16200,4,4000,3,2400,3,2700,3,2700,2,2400,2,2000,63.0,34.7,18.3,20.0,16.4,rainy
2024-06-01,土,13,21,20200,6,6000,4,3200,3,2700,3,2700,3,3600,2,2000,51.0,1.3000002,20.0,24.7,17.2,rainy
2024-06-03,月,2,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,63.0,13.3,18.6,23.6,15.6,rainy
2024-06-04,火,10,18,17100,4,4000,4,3200,3,2700,2,1800,2,2400,3,3000,51.0,0.90000004,18.7,23.5,15.2,rainy
2024-06-05,水,18,24,22400,5,5000,6,4800,5,4500,3,2700,2,2400,3,3000,1.0,0.0,19.8,25.5,14.8,sunny
2024-06-06,木,15,27,26000,7,7000,5,4000,5,4500,3,2700,4,4800,3,3000,51.0,0.70000005,20.7,24.9,16.9,rainy
2024-06-07,金,28,66,62900,20,20000,14,11200,9,8100,10,9000,8,9600,5,5000,51.0,0.4,21.0,25.0,17.9,rainy
2024-06-08,土,19,29,27300,6,6000,7,5600,4,3600,5,4500,3,3600,4,4000,3.0,0.0,20.8,26.6,15.3,cloudy
2024-06-10,月,9,13,12200,3,3000,3,2400,2,1800,2,1800,1,1200,2,2000,63.0,12.6,20.9,24.5,18.9,rainy
2024-06-11,火,18,24,22800,5,5000,6,4800,4,3600,2,1800,3,3600,4,4000,3.0,0.0,22.4,27.0,18.7,cloudy
2024-06-12,水,8,13,12400,3,3000,3,2400,2,1800,2,1800,2,2400,1,1000,3.0,0.0,22.9,28.0,18.1,cloudy
2024-06-13,木,15,23,22000,6,6000,5,4000,3,2700,3,2700,3,3600,3,3000,51.0,0.1,21.6,24.2,19.2,rainy
2024-06-14,金,18,36,33000,7,7000,10,8000,7,6300,7,6300,2,2400,3,3000,1.0,0.0,24.0,29.9,18.6,sunny
2024-06-15,土,12,25,23900,7,7000,5,4000,3,2700,4,3600,3,3600,3,3000,51.0,0.6,23.4,28.6,19.1,rainy
2024-06-17,月,21,42,39200,8,8000,10,8000,5,4500,9,8100,3,3600,7,7000,61.0,3.8,25.0,29.6,21.7,rainy
2024-06-18,火,4,6,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,65.0,95.50001,19.8,22.5,18.1,rainy
2024-06-19,水,16,20,19000,4,4000,4,3200,3,2700,3,2700,2,2400,4,4000,3.0,0.0,22.3,28.4,15.7,cloudy
2024-06-20,木,15,28,26300,8,8000,6,4800,5,4500,6,5400,3,3600,0,0,3.0,0.0,23.0,27.8,18.1,cloudy
2024-06-21,金,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,63.0,36.899998,20.4,22.6,18.3,rainy
2024-06-22,土,11,18,17300,4,4000,4,3200,3,2700,2,1800,3,3600,2,2000,3.0,0.0,22.8,27.8,15.5,cloudy
2024-06-24,月,17,25,23100,4,4000,8,6400,6,5400,3,2700,3,3600,1,1000,3.0,0.0,25.6,30.9,20.7,cloudy
2024-06-25,火,14,27,25300,5,5000,7,5600,4,3600,5,4500,3,3600,3,3000,3.0,0.0,26.6,30.9,22.8,cloudy
2024-06-26,水,18,23,21500,4,4000,6,4800,3,2700,4,3600,2,2400,4,4000,51.0,0.6,25.6,30.5,22.6,rainy
2024-06-27,木,18,22,20600,4,4000,6,4800,3,2700,3,2700,2,2400,4,4000,51.0,0.1,24.0,28.1,21.9,rainy
2024-06-28,金,5,12,11300,3,3000,3,2400,2,1800,1,900,1,1200,2,2000,65.0,64.0,22.0,23.0,21.0,rainy
2024-06-29,土,11,23,22100,6,6000,4,3200,3,2700,4,3600,3,3600,3,3000,51.0,0.4,23.4,27.9,20.5,rainy
2024-07-01,月,10,15,13800,3,3000,4,3200,3,2700,3,2700,1,1200,1,1000,61.0,6.6999993,26.2,28.0,24.6,rainy
2024-07-02,火,13,23,21400,4,4000,6,4800,4,3600,4,3600,2,2400,3,3000,61.0,4.8999996,26.6,31.2,23.2,rainy
2024-07-03,水,25,42,39500,7,7000,10,8000,6,5400,7,6300,4,4800,8,8000,53.0,1.1,26.2,31.3,22.7,rainy
2024-07-04,木,20,32,30100,6,6000,7,5600,5,4500,6,5400,3,3600,5,5000,3.0,0.0,28.2,33.1,23.4,cloudy
2024-07-05,金,30,65,60400,11,11000,17,13600,10,9000,14,12600,6,7200,7,7000,2.0,0.0,28.2,33.5,24.3,sunny
2024-07-06,土,3,5,4600,1,1000,1,800,1,900,1,900,0,0,1,1000,53.0,1.1,28.2,33.5,24.3,rainy
2024-07-08,月,23,43,39500,8,8000,13,10400,6,5400,9,8100,3,3600,4,4000,3.0,0.0,30.0,35.1,25.0,cloudy
2024-07-09,火,15,20,18700,4,4000,5,4000,3,2700,4,3600,2,2400,2,2000,3.0,0.0,28.6,33.5,24.9,cloudy
2024-07-10,水,19,29,26800,5,5000,9,7200,5,4500,5,4500,3,3600,2,2000,53.0,1.9,28.2,32.3,24.7,rainy
2024-07-11,木,10,19,17600,5,5000,5,4000,3,2700,3,2700,1,1200,2,2000,53.0,0.90000004,27.1,29.4,24.7,rainy
2024-07-12,金,10,21,20000,5,5000,4,3200,5,4500,3,2700,3,3600,1,1000,63.0,17.6,23.9,25.6,22.4,rainy
2024-07-13,土,14,29,27500,7,7000,6,4800,4,3600,5,4500,3,3600,4,4000,61.0,3.7,25.3,30.2,21.3,rainy
2024-07-15,月,18,26,23700,6,6000,9,7200,5,4500,4,3600,2,2400,0,0,51.0,0.4,24.5,26.8,22.3,rainy
2024-07-16,火,5,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,63.0,19.800001,23.6,26.3,21.1,rainy
2024-07-17,水,12,15,13900,3,3000,4,3200,2,1800,3,2700,1,1200,2,2000,55.0,6.1,25.5,30.0,21.9,rainy
2024-07-18,木,23,45,41800,8,8000,12,9600,7,6300,7,6300,3,3600,8,8000,3.0,0.0,26.6,30.9,23.0,cloudy
2024-07-19,金,17,37,34100,6,6000,12,9600,5,4500,6,5400,3,3600,5,5000,3.0,0.0,28.0,32.3,23.9,cloudy
2024-07-20,土,5,12,11200,2,2000,3,2400,2,1800,2,1800,1,1200,2,2000,65.0,13.9,29.6,35.0,25.6,rainy
2024-07-22,月,18,29,27100,5,5000,8,6400,4,3600,7,6300,4,4800,1,1000,51.0,0.1,29.6,35.0,25.0,rainy
2024-07-23,火,16,25,24500,6,6000,7,5600,5,4500,4,3600,4,4800,0,0,3.0,0.0,29.1,33.2,24.9,cloudy
2024-07-24,水,17,29,27400,6,6000,7,5600,4,3600,4,3600,3,3600,5,5000,3.0,0.0,29.8,34.7,25.4,cloudy
2024-07-25,木,10,20,18700,5,5000,5,4000,2,1800,3,2700,1,1200,4,4000,51.0,0.2,29.7,33.9,26.7,rainy
2024-07-26,金,23,57,52800,10,10000,15,12000,10,9000,12,10800,5,6000,5,5000,53.0,1.1,30.1,34.9,25.7,rainy
2024-07-27,土,14,24,22500,5,5000,5,4000,4,3600,5,4500,2,2400,3,3000,51.0,0.2,30.5,35.5,26.0,rainy
2024-07-29,月,18,28,26000,6,6000,8,6400,4,3600,6,5400,3,3600,1,1000,3.0,0.0,32.2,38.1,28.0,cloudy
2024-07-30,火,13,21,19700,4,4000,5,4000,3,2700,4,3600,2,2400,3,3000,55.0,2.6,32.1,38.6,27.8,rainy
2024-07-31,水,10,14,13000,3,3000,4,3200,2,1800,2,1800,1,1200,2,2000,53.0,0.9,30.4,36.2,26.9,rainy
2024-08-01,木,13,26,24400,5,5000,6,4800,4,3600,4,3600,2,2400,5,5000,3.0,0.0,29.3,34.6,24.9,cloudy
2024-08-02,金,28,50,45300,8,8000,17,13600,11,9900,8,7200,3,3600,3,3000,3.0,0.0,29.5,35.8,24.6,cloudy
2024-08-03,土,12,24,22700,4,4000,6,4800,4,3600,3,2700,3,3600,4,4000,3.0,0.0,29.9,36.4,25.1,cloudy
2024-08-05,月,12,21,19700,4,4000,5,4000,4,3600,3,2700,2,2400,3,3000,53.0,2.0,30.7,36.9,26.7,rainy
2024-08-06,火,18,28,26300,5,5000,7,5600,4,3600,5,4500,3,3600,4,4000,53.0,2.2,29.7,34.8,26.6,rainy
2024-08-07,水,6,11,10200,2,2000,3,2400,2,1800,2,1800,1,1200,1,1000,65.0,18.100002,27.7,32.4,24.9,rainy
2024-08-08,木,18,30,27900,5,5000,9,7200,6,5400,5,4500,4,4800,1,1000,53.0,2.2,28.0,32.3,24.5,rainy
2024-08-09,金,23,44,41100,9,9000,12,9600,6,5400,7,6300,4,4800,6,6000,55.0,3.4999998,28.4,33.5,24.7,rainy
2024-08-10,土,14,28,26100,6,6000,7,5600,6,5400,5,4500,3,3600,1,1000,61.0,1.8000001,28.9,33.9,25.0,rainy
2024-08-12,月,11,24,22200,5,5000,8,6400,3,2700,3,2700,2,2400,3,3000,1.0,0.0,31.2,36.2,26.9,sunny
2024-08-13,火,13,28,26400,5,5000,6,4800,5,4500,5,4500,3,3600,4,4000,3.0,0.0,31.2,37.0,26.9,cloudy
2024-08-14,水,11,17,15800,3,3000,5,4000,3,2700,3,2700,2,2400,1,1000,51.0,0.5,31.0,36.4,26.5,rainy
2024-08-15,木,16,24,22200,5,5000,7,5600,4,3600,4,3600,2,2400,2,2000,53.0,1.4000001,30.4,36.6,25.3,rainy
2024-08-16,金,3,6,5600,1,1000,2,1600,1,900,1,900,1,1200,0,0,63.0,57.299995,26.1,27.9,24.7,rainy
2024-08-17,土,10,22,20300,4,4000,6,4800,3,2700,4,3600,1,1200,4,4000,51.0,0.2,29.9,34.6,25.4,rainy
2024-08-19,月,10,16,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,63.0,5.3000007,28.3,32.7,25.2,rainy
2024-08-20,火,21,37,34800,7,7000,10,8000,5,4500,5,4500,4,4800,6,6000,55.0,2.4,28.5,33.3,25.1,rainy
2024-08-21,水,4,7,6600,1,1000,2,1600,1,900,1,900,1,1200,1,1000,53.0,1.4000001,27.7,31.8,24.5,rainy
2024-08-22,木,16,21,19600,5,5000,6,4800,3,2700,3,2700,2,2400,2,2000,51.0,1.4000002,27.6,30.4,25.3,rainy
2024-08-23,金,21,45,41900,12,12000,12,9600,7,6300,8,7200,4,4800,2,2000,51.0,0.6,28.7,31.7,26.3,rainy
2024-08-24,土,9,22,20500,5,5000,5,4000,4,3600,3,2700,1,1200,4,4000,63.0,6.4999995,28.5,32.8,25.6,rainy
2024-08-26,月,13,23,21800,5,5000,6,4800,3,2700,3,2700,3,3600,3,3000,51.0,0.1,28.4,32.1,25.8,rainy
2024-08-27,火,5,7,6600,1,1000,2,1600,1,900,1,900,1,1200,1,1000,51.0,0.9000001,27.4,31.3,24.8,rainy
2024-08-28,水,11,20,18800,4,4000,5,4000,3,2700,3,2700,2,2400,3,3000,51.0,0.3,27.5,30.3,25.4,rainy
2024-08-29,木,7,11,10200,2,2000,3,2400,2,1800,2,1800,1,1200,1,1000,65.0,31.6,26.5,30.3,24.4,rainy
2024-08-30,金,6,12,11200,2,2000,3,2400,2,1800,2,1800,1,1200,2,2000,65.0,36.29999,26.5,27.6,25.6,rainy
2024-08-31,土,4,8,7500,2,2000,2,1600,1,900,2,1800,1,1200,0,0,63.0,14.4,27.1,29.9,25.2,rainy
2024-09-02,月,17,28,25900,6,6000,7,5600,5,4500,6,5400,2,2400,2,2000,3.0,0.0,27.9,31.2,25.8,cloudy
2024-09-03,火,11,13,12200,2,2000,3,2400,2,1800,2,1800,1,1200,3,3000,65.0,32.2,24.3,26.5,22.4,rainy
2024-09-04,水,18,32,29900,6,6000,9,7200,4,3600,5,4500,3,3600,5,5000,55.0,2.0,24.1,27.9,21.8,rainy
2024-09-05,木,14,21,19900,5,5000,4,3200,3,2700,4,3600,2,2400,3,3000,3.0,0.0,25.3,29.6,21.7,cloudy
2024-09-06,金,29,55,51200,12,12000,13,10400,8,7200,10,9000,3,3600,9,9000,3.0,0.0,27.0,31.5,22.9,cloudy
2024-09-07,土,17,36,33700,6,6000,10,8000,6,5400,5,4500,4,4800,5,5000,51.0,0.1,27.1,31.2,23.8,rainy
2024-09-09,月,13,22,20600,5,5000,6,4800,4,3600,4,3600,3,3600,0,0,55.0,3.1,26.9,31.9,23.1,rainy
2024-09-10,火,19,26,24500,6,6000,6,4800,5,4500,4,3600,3,3600,2,2000,53.0,1.1,27.1,31.6,23.0,rainy
2024-09-11,水,17,26,24900,5,5000,8,6400,5,4500,6,5400,3,3600,0,0,51.0,0.4,28.1,32.1,23.9,rainy
2024-09-12,木,14,31,28800,6,6000,7,5600,5,4500,7,6300,2,2400,4,4000,51.0,0.1,28.0,32.3,24.5,rainy
2024-09-13,金,20,37,34500,7,7000,10,8000,6,5400,5,4500,3,3600,6,6000,3.0,0.0,28.5,32.3,25.3,cloudy
2024-09-14,土,10,22,20400,4,4000,6,4800,4,3600,4,3600,2,2400,2,2000,3.0,0.0,28.5,33.1,24.8,cloudy
2024-09-16,月,13,26,24600,5,5000,6,4800,4,3600,4,3600,3,3600,4,4000,65.0,23.2,26.6,30.4,23.3,rainy
2024-09-17,火,18,22,20900,6,6000,5,4000,3,2700,2,1800,2,2400,4,4000,3.0,0.0,27.3,32.6,22.5,cloudy
2024-09-18,水,8,16,14800,3,3000,4,3200,3,2700,3,2700,1,1200,2,2000,61.0,5.3,29.0,35.2,25.4,rainy
2024-09-19,木,14,23,21200,4,4000,7,5600,4,3600,4,3600,2,2400,2,2000,3.0,0.0,28.1,32.3,25.2,cloudy
2024-09-20,金,24,42,39000,7,7000,10,8000,9,8100,7,6300,3,3600,6,6000,51.0,0.2,28.9,33.2,25.2,rainy
2024-09-21,土,16,24,22200,4,4000,6,4800,6,5400,4,3600,2,2400,2,2000,3.0,0.0,27.8,31.6,23.9,cloudy
2024-09-23,月,10,19,18200,4,4000,4,3200,3,2700,3,2700,3,3600,2,2000,53.0,2.8,22.4,26.2,18.7,rainy
2024-09-24,火,17,28,26500,7,7000,7,5600,4,3600,3,2700,3,3600,4,4000,51.0,0.1,19.7,23.9,16.6,rainy
2024-09-25,水,8,13,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,3.0,0.0,20.1,23.2,15.9,cloudy
2024-09-26,木,17,23,21600,7,7000,6,4800,4,3600,2,1800,2,2400,2,2000,51.0,0.2,23.9,28.0,20.5,rainy
2024-09-27,金,18,33,31600,7,7000,8,6400,4,3600,4,3600,5,6000,5,5000,61.0,17.300001,22.8,24.8,21.3,rainy
2024-09-28,土,15,32,30700,8,8000,6,4800,6,5400,5,4500,5,6000,2,2000,51.0,0.3,23.6,27.0,21.6,rainy
2024-09-30,月,10,16,15300,5,5000,3,2400,3,2700,2,1800,2,2400,1,1000,51.0,1.1,21.7,25.2,19.2,rainy
2024-09-30,月,10,16,15300,5,5000,3,2400,3,2700,2,1800,2,2400,1,1000,51.0,1.1,21.7,25.2,19.2,rainy
2024-09-30,月,10,16,15300,5,5000,3,2400,3,2700,2,1800,2,2400,1,1000,51.0,1.1,21.7,25.2,19.2,rainy
2024-09-30,月,10,16,15300,5,5000,3,2400,3,2700,2,1800,2,2400,1,1000,51.0,1.1,21.7,25.2,19.2,rainy
2024-10-01,火,10,16,15200,4,4000,4,3200,2,1800,2,1800,2,2400,2,2000,51.0,0.2,22.4,26.9,18.5,rainy
2024-10-02,水,18,31,29400,6,6000,7,5600,4,3600,4,3600,3,3600,7,7000,3.0,0.0,25.1,31.0,20.1,cloudy
2024-10-03,木,10,17,16000,3,3000,5,4000,2,1800,2,1800,2,2400,3,3000,61.0,8.3,23.6,26.6,21.8,rainy
2024-10-04,金,14,27,25000,5,5000,7,5600,5,4500,5,4500,2,2400,3,3000,53.0,0.70000005,25.0,28.4,22.1,rainy
2024-10-05,土,8,15,14300,3,3000,3,2400,3,2700,2,1800,2,2400,2,2000,63.0,22.100002,21.3,22.8,19.5,rainy
2024-10-07,月,15,29,27100,4,4000,7,5600,4,3600,5,4500,2,2400,7,7000,3.0,0.0,23.6,28.3,18.9,cloudy
2024-10-08,火,5,9,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,63.0,15.200001,19.1,22.0,15.8,rainy
2024-10-09,水,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,63.0,31.599998,16.3,17.6,15.1,rainy
2024-10-10,木,8,12,11200,3,3000,3,2400,2,1800,2,1800,1,1200,1,1000,51.0,0.5,17.0,20.5,14.5,rainy
2024-10-11,金,17,33,31000,7,7000,8,6400,5,4500,5,4500,3,3600,5,5000,3.0,0.0,17.5,22.7,12.3,cloudy
2024-10-12,土,17,32,30400,8,8000,6,4800,6,5400,6,5400,4,4800,2,2000,1.0,0.0,18.8,23.8,14.7,sunny
2024-10-14,月,12,22,20900,6,6000,4,3200,4,3600,3,2700,2,2400,3,3000,3.0,0.0,19.0,24.3,14.5,cloudy
2024-10-15,火,14,21,19600,6,6000,6,4800,3,2700,3,2700,2,2400,1,1000,3.0,0.0,20.4,25.7,16.1,cloudy
2024-10-16,水,17,22,21000,4,4000,5,4000,3,2700,3,2700,3,3600,4,4000,3.0,0.0,21.4,25.7,16.0,cloudy
2024-10-17,木,12,22,21100,5,5000,5,4000,3,2700,2,1800,3,3600,4,4000,53.0,1.6000001,21.4,24.7,19.2,rainy
2024-10-18,金,14,24,22600,5,5000,5,4000,4,3600,4,3600,2,2400,4,4000,61.0,4.9999995,21.1,24.5,18.9,rainy
2024-10-19,土,9,16,14900,3,3000,4,3200,2,1800,3,2700,1,1200,3,3000,53.0,1.2,23.8,28.8,20.7,rainy
2024-10-21,月,10,13,12200,3,3000,3,2400,2,1800,2,1800,1,1200,2,2000,3.0,0.0,14.2,19.4,9.1,cloudy
2024-10-22,火,18,31,29300,6,6000,7,5600,5,4500,6,5400,4,4800,3,3000,51.0,0.2,18.0,23.3,12.7,rainy
2024-10-23,水,15,23,21700,5,5000,5,4000,4,3600,3,2700,2,2400,4,4000,51.0,0.8,21.5,25.6,16.9,rainy
2024-10-24,木,13,17,16300,3,3000,3,2400,2,1800,3,2700,2,2400,4,4000,51.0,0.3,22.1,26.9,18.9,rainy
2024-10-25,金,19,42,40300,9,9000,10,8000,7,6300,4,3600,7,8400,5,5000,55.0,3.7,19.2,20.7,17.2,rainy
2024-10-26,土,13,26,24800,6,6000,6,4800,5,4500,3,2700,4,4800,2,2000,3.0,0.0,18.2,21.6,15.3,cloudy
2024-10-28,月,8,12,11000,3,3000,4,3200,2,1800,2,1800,1,1200,0,0,63.0,10.1,18.7,20.7,17.3,rainy
2024-10-29,火,4,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,63.0,28.3,15.5,18.0,12.8,rainy
2024-10-30,水,4,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,63.0,14.300001,16.1,22.2,12.9,rainy
2024-10-31,木,14,19,17800,5,5000,6,4800,2,1800,2,1800,2,2400,2,2000,3.0,0.0,15.4,20.0,11.1,cloudy
2024-11-01,金,23,49,45700,11,11000,14,11200,9,8100,8,7200,6,7200,1,1000,61.0,5.9,15.5,21.2,10.5,rainy
2024-11-01,金,23,49,45700,11,11000,14,11200,9,8100,8,7200,6,7200,1,1000,61.0,5.9,15.5,21.2,10.5,rainy
2024-11-02,土,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,65.0,58.1,15.8,17.5,14.6,rainy
2024-11-04,月,16,21,19800,6,6000,6,4800,3,2700,3,2700,3,3600,0,0,2.0,0.0,15.6,22.2,9.2,sunny
2024-11-05,火,19,28,26800,6,6000,5,4000,4,3600,4,3600,3,3600,6,6000,3.0,0.0,15.1,19.3,11.4,cloudy
2024-11-06,水,11,19,18300,5,5000,4,3200,3,2700,2,1800,3,3600,2,2000,55.0,1.6,13.0,14.8,11.1,rainy
2024-11-07,木,16,31,30100,8,8000,5,4000,4,3600,5,4500,5,6000,4,4000,3.0,0.0,11.1,15.0,8.3,cloudy
